"l","Cl_uK2","Dl_uK2","is_peak"
2,1622.4309762513412,1549.3074581748626,0
3,813.8126107870121,1554.2675970872845,0
4,489.6282775887326,1558.5352131163495,0
5,327.1712390157334,1562.1275978056183,0
6,234.13330814975257,1565.0658800486249,0
7,175.8590429449917,1567.3748144378987,0
8,136.92828211457132,1569.0825322283224,0
9,109.62205407843639,1570.2202600623195,0
10,89.72514351518305,1570.8220121078211,0
11,74.77581999308526,1570.924261585707,0
12,63.25740184692364,1570.5655978097727,0
13,54.193729042716576,1569.7863748350696,0
14,46.93325070969942,1568.6283576221722,0
15,41.027481900367704,1567.1343712936293,0
16,36.159453287284954,1565.3479586067526,0
17,32.09995290084319,1563.3130502189829,0
18,28.679868514081587,1561.07365170466,0
19,25.772196715666034,1558.673550621285,0
20,23.28004001295497,1556.1560462443358,0
21,21.128416965816246,1553.5637039151402,0
22,19.258560679913945,1550.9381352960197,0
23,17.623877266226874,1548.319805217417,0
24,16.187033792526723,1545.7478652457062,0
25,14.917828681006062,1543.2600136071067,0
26,13.791613057296837,1540.892380678222,0
27,12.788105876923387,1538.679438899725,0
28,11.890494373059884,1536.6539356864243,0
29,11.084743864583858,1534.8468476917897,0
30,10.359062987439563,1533.2873546337119,0
31,9.70348556150162,1532.0028307951477,0
32,9.109540868948047,1531.0188522718017,0
33,8.56999158066782,1530.3592180421524,0
34,8.078623898775028,1530.0459829757344,0
35,7.630078335711546,1530.0995009666622,0
36,7.219712362954928,1530.5384764742385,0
37,6.843488235685547,1531.3800228650275,0
38,6.497880842157078,1532.6397260754145,0
39,6.179801583795778,1534.331712245626,0
40,5.886535167425596,1536.4687181113009,0
41,5.615686858222629,1539.0621630734872,0
42,5.3651382542322565,1542.122221999669,0
43,5.1330100392338345,1545.6578979348628,0
44,4.917630478801903,1549.67709402136,0
45,4.717508665582756,1554.1866840371376,0
46,4.531311709720181,1559.1925810656378,0
47,4.357845220758209,1564.6998039030655,0
48,4.19603654708539,1570.712540893513,0
49,4.044920334803027,1577.234210957224,0
50,3.9036260449535836,1584.2675216434018,0
51,3.7713671303013676,1591.8145240966642,0
52,3.647431623384733,1599.8766648759938,0
53,3.5311739287448694,1608.4548346075003,0
54,3.422007645947782,1617.5494134880246,0
55,3.3193992777206183,1627.1603136863027,0
56,3.222862700379396,1637.2870187126248,0
57,3.131954292651346,1647.9286198473096,0
58,3.0462686347235626,1659.0838497334298,0
59,2.9654347024662027,1670.7511132506397,0
60,2.8891124927534193,1682.9285157951308,0
61,2.816990025018176,1695.613889096178,0
62,2.7487806719351164,1708.8048147028312,0
63,2.684220778678417,1722.4986452754388,0
64,2.6230675357525395,1736.692523816197,0
65,2.565097075109512,1751.3834009710963,0
66,2.510102763283638,1766.5680505327477,0
67,2.457893668705772,1782.2430832698392,0
68,2.408293183297789,1798.404959204597,0
69,2.361137780970458,1815.0499984547653,0
70,2.316275897818945,1832.1743907514397,0
71,2.2735669206828377,1849.7742037386756,0
72,2.2328802723566907,1867.8453901552782,0
73,2.1940945831400467,1886.3837939936416,0
74,2.1570969396340915,1905.3851557249682,0
75,2.1217822027522093,1924.8451166748182,0
76,2.088052387835916,1944.7592226276079,0
77,2.055816100575137,1965.1229267335952,0
78,2.0249880231385062,1985.931591786941,0
79,1.995488445539066,2007.180491938726,0
80,1.9672428378051288,2028.8648139043148,0
81,1.9401814590050583,2050.9796577201714,0
82,1.914238999596959,2073.5200371012274,0
83,1.889354253947002,2096.4808794460723,0
84,1.8654698201897228,2119.857025533677,0
85,1.8425318248955218,2143.6432289520085,0
86,1.8204896702694873,2167.8341552957468,0
87,1.799295801835603,2192.424381167411,0
88,1.7789054947649159,2217.4083930134525,0
89,1.7592766571884149,2242.7805858243537,0
90,1.7403696489977842,2268.535261725404,0
91,1.722147114782309,2294.666628482648,0
92,1.704573829679881,2321.1687979464855,0
93,1.6876165570361605,2348.0357844534983,0
94,1.6712439168700401,2375.2615032053986,0
95,1.6554262642368835,2402.839768642345,0
96,1.6401355766649315,2430.7642928264363,0
97,1.6253453499156578,2459.028683849804,0
98,1.6110305013867818,2487.6264442804877,0
99,1.5971672805378159,2516.55096965811,0
100,1.5837331857732426,2545.795547050314,0
101,1.5707068872682364,2575.353353679924,0
102,1.558068155266917,2605.2174556319146,0
103,1.545797793423852,2635.3808066483984,0
104,1.5338775767964625,2665.8362470191305,0
105,1.5222901941294045,2696.5765025742544,0
106,1.5110191941023647,2727.594183785416,0
107,1.500048935240252,2758.881784980736,0
108,1.4893645392097925,2790.4316836785842,0
109,1.4789518472493164,2822.236140044575,0
110,1.468797379499245,2854.2872964757507,0
111,1.4588882970196468,2886.577177315433,0
112,1.4492123662984708,2919.0976887018646,0
113,1.4397579260697198,2951.8406185533213,0
114,1.430513856275215,2984.797636692086,0
115,1.42146954901664,3017.9602951092775,0
116,1.4126148813565722,3051.3200283722626,0
117,1.403940189838135,3084.8681541760698,0
118,1.395436246602958,3118.595874039957,0
119,1.3870942369962942,3152.4942741500045,0
120,1.3789057385566028,3186.5543263484105,0
121,1.3708627012946086,3220.76688926988,0
122,1.362957429173957,3255.122709625318,0
123,1.3551825627121123,3289.6124236328155,0
124,1.3475310626261177,3324.2265585957257,0
125,1.3399961944533716,3358.9555346274274,0
126,1.3325715140826284,3393.7896665222042,0
127,1.3252508541351176,3428.7191657714898,0
128,1.3180283111399709,3463.7341427245547,0
129,1.3108982334521246,3498.8246088925657,0
130,1.3038552098645124,3533.9804793947633,0
131,1.2968940588697655,3569.1915755453956,0
132,1.2900098185297355,3604.4476275798506,0
133,1.2831977369140515,3639.738277518317,0
134,1.2764532630716015,3675.0530821651732,0
135,1.269772038501265,3710.381516242124,0
136,1.263149889090545,3745.712975653028,0
137,1.2565828174928309,3781.0367808781925,0
138,1.2500669959160098,3816.3421804957975,0
139,1.2435987592969375,3851.6183548279846,0
140,1.2371745988379887,3886.8544197090437,0
141,1.2307911558834534,3922.0394303729804,0
142,1.2244452161150063,3957.1623854576637,0
143,1.2181337040468267,3992.212231122616,0
144,1.2118536778022004,4027.1778652774215,0
145,1.2056023241545948,4062.0481419175953,0
146,1.1993769538172963,4096.811875564676,0
147,1.1931749969666983,4131.457845807178,0
148,1.1869939989852767,4165.97480193897,0
149,1.1808316164111619,4200.351467691504,0
150,1.1746856130820356,4234.576546056281,0
151,1.1685538564618465,4268.6387241938,0
152,1.1624343141395443,4302.526678425174,0
153,1.1563250504897,4336.229079302497,0
154,1.1502242234854996,4369.734596753972,0
155,1.1441300816551818,4403.031905299745,0
156,1.1380409611735236,4436.109689334247,0
157,1.1319552830804978,4468.95664847089,0
158,1.125871550619686,4501.561502944757,0
159,1.1197883466894905,4533.912999068963,0
160,1.1137043314005912,4565.999914740258,0
161,1.1076182397334944,4597.811064989381,0
162,1.1015288792903783,4629.335307571626,0
163,1.0954351281357868,4660.5615485930275,0
164,1.089335932721046,4691.478748167529,0
165,1.0832303058875792,4722.075926100451,0
166,1.0771173249445727,4752.342167593497,0
167,1.0709961298167319,4782.266628966606,0
168,1.0648659212580878,4811.8385433917765,0
169,1.0587259591280818,4841.0472266340885,0
170,1.0525755607263505,4869.882082795055,0
171,1.0464140991828659,4898.332610053447,0
172,1.04024100190026,4926.388406398694,0
173,1.034055749045368,4954.039175351985,0
174,1.0278578720871867,4981.274731670152,0
175,1.0216469523786096,5008.085007027439,0
176,1.015422619779469,5034.460055670278,0
177,1.009184551318539,5060.3900600401485,0
178,1.0029324698923188,5085.865336359673,0
179,0.9966661429985183,5110.876340177057,0
180,0.990385381502316,5135.413671864064,0
181,0.9840900384335596,5159.468082062688,0
182,0.977780007813199,5183.0304770757575,0
183,0.971455223507339,5206.0919241967185,0
184,0.965115658107403,5228.643656973876,0
185,0.9587613218349901,5250.677080404475,0
186,0.9523922614700948,5272.18377605396,0
187,0.9460085593014447,5293.155507095887,0
188,0.9396103320977912,5313.584223267994,0
189,0.9331977300990554,5333.462065739973,0
190,0.9267709360263199,5352.781371888616,0
191,0.9203301641096953,5371.534679975991,0
192,0.9138756591331946,5389.714733726496,0
193,0.9074076954957618,5407.314486798604,0
194,0.9009265762877029,5424.327107147289,0
195,0.8944326323817854,5440.74598127315,0
196,0.8879262215383515,5456.5647183543915,0
197,0.8814077275238184,5471.777154257883,0
198,0.8748775592419983,5486.377355425647,0
199,0.8683361498777077,5500.359622633198,0
200,0.8617839560521796,5513.7184946163225,0
201,0.8552214569898314,5526.448751562924,0
202,0.8486491536959762,5538.545418466766,0
203,0.8420675681451026,5550.003768339963,0
204,0.8354772424793832,5560.819325281306,0
205,0.828878738217096,5570.98786739754,0
206,0.8222726354706806,5580.505429574875,0
207,0.8156595321741786,5589.368306098196,0
208,0.8090400433198236,5597.5730531154495,0
209,0.8024148002035904,5605.116490944993,0
210,0.7957844496795154,5611.995706223644,0
211,0.7891496534226397,5618.208053893478,0
212,0.7825110872004356,5623.75115902545,0
213,0.7758694401526061,5628.622918478133,0
214,0.7692254140791552,5632.821502389975,0
215,0.7625797227366582,5636.345355503646,0
216,0.7559330911426593,5639.193198321184,0
217,0.7492862548881578,5641.364028088832,0
218,0.7426399594581458,5642.85711961056,0
219,0.7359949595601749,5643.672025889479,0
220,0.7293520184609509,5643.808578596468,1
221,0.722711907330953,5643.266888365507,0
222,0.7160754045970971,5642.047344915376,0
223,0.709443295303463,5640.150616997502,0
224,0.7028163704801235,5637.577652169951,0
225,0.6961954265201102,5634.329676397646,0
226,0.6895812645645701,5630.408193479122,0
227,0.6829746898961665,5625.814984300236,0
228,0.6763765113407826,5620.5521059154025,0
229,0.6697875406775994,5614.621890457137,0
230,0.6632085920576164,5608.0269438747655,0
231,0.6566404814306926,5600.770144503374,0
232,0.6500840259811836,5592.854641464176,0
233,0.643540043572262,5584.283852897674,0
234,0.637009352199004,5575.061464031086,0
235,0.630492769450327,5565.191425081695,0
236,0.6239911119798689,5554.677948997897,0
237,0.6175051949859007,5543.525509039897,0
238,0.6110358317003551,5531.738836202078,0
239,0.6045838328870712,5519.322916479314,0
240,0.5981500063493362,5506.2829879794845,0
241,0.5917351564468187,5492.624537884724,0
242,0.5853400836219819,5478.353299263983,0
243,0.5789655839360593,5463.475247739604,0
244,0.5726124486146832,5447.996598010789,0
245,0.5662814636032453,5431.9238002369,0
246,0.559973409132072,5415.263536283677,0
247,0.5536890592914939,5398.022715835577,0
248,0.5474291816168765,5380.208472377487,0
249,0.5411945366836981,5361.82815904928,0
250,0.5349858777127295,5342.889344376656,0
251,0.5288039501853873,5323.3998078818895,0
252,0.5226494914693209,5303.367535578179,0
253,0.5165232304542879,5282.800715351357,0
254,0.5104258871983723,5261.707732232836,0
255,0.5043581725845908,5240.097163567714,0
256,0.4983207879879325,5217.977774082062,0
257,0.49231442495287064,5195.358510853487,0
258,0.486339764881376,5172.248498189079,0
259,0.480397478731464,5148.657032415001,0
260,0.4744882267262971,5124.593576581939,0
261,0.46861265807386043,5100.067755090774,0
262,0.4627714106972209,5075.089348242787,0
263,0.4569651109753803,5049.668286718852,0
264,0.4511943734947199,5023.814645992009,0
265,0.4454598008110341,4997.538640677927,0
266,0.43976198322214244,4970.850618827739,0
267,0.43410149855106506,4943.761056167777,0
268,0.42847891193973686,4916.280550290734,0
269,0.4228947756532377,4888.419814802823,0
270,0.4173496288945014,4860.189673431487,0
271,0.4118439976294681,4831.601054098223,0
272,0.4063783944226314,4802.664982961074,0
273,0.40095331828293346,4773.392578431358,0
274,0.39556925451995106,4743.79504516918,0
275,0.3902266746103094,4713.883668062241,0
276,0.38492603607425774,4683.669806192464,0
277,0.37966778236233456,4653.164886794941,0
278,0.3744523427520416,4622.380399213607,0
279,0.3692801322544449,4591.327888858124,0
280,0.36415155153061335,4560.018951166316,0
281,0.35906698681779947,4528.465225576518,0
282,0.35402680986526325,4496.678389514138,0
283,0.3490313778796351,4464.670152396675,0
284,0.34408103347970687,4432.452249661378,0
285,0.33917610466053744,4400.036436819708,0
286,0.334316904766753,4367.434483542646,0
287,0.32950373247491827,4334.658167780885,0
288,0.3247368717848509,4301.71926992383,0
289,0.320016592019744,4268.6295670012705,0
290,0.3153431478349642,4235.400826931557,0
291,0.3107167792353778,4202.04480281993,0
292,0.3061377116010666,4168.573227310712,0
293,0.3016061557212789,4134.997806996848,0
294,0.29712230783646704,4101.330216890298,0
295,0.29268634968825363,4067.582094956638,0
296,0.2882984485771665,4033.765036717141,0
297,0.28395875742798243,3999.890589921557,0
298,0.27966741486251007,3965.970249294629,0
299,0.27542454527964816,3932.0154513593916,0
300,0.27123025894254366,3898.037569340092,0
301,0.2670846520726795,3864.0479081475514,0
302,0.2629878069507136,3830.0576994496364,0
303,0.2589397920238924,3796.078096829406,0
304,0.2549406620198578,3762.1201710334326,0
305,0.2509904580666663,3728.194905312608,0
306,0.2470892078188361,3694.3131908577425,0
307,0.2432369255892366,3660.48582233204,0
308,0.2394336124866352,3626.7234935025185,0
309,0.2356792565587119,3593.036792972268,0
310,0.23197383294035503,3559.436200015357,0
311,0.22831730400704642,3525.9320805160714,0
312,0.22470961953314897,3492.5346830140825,0
313,0.22115071685490256,3459.2541348569684,0
314,0.21764052103794068,3426.1004384614803,0
315,0.21417894504913462,3393.0834676847626,0
316,0.21076588993257608,3360.212964306667,0
317,0.2074012449895058,3327.498534624159,0
318,0.20408488796199897,3294.9496461587282,0
319,0.20081668522021776,3262.5756244775853,0
320,0.197596491953041,3230.3856501293285,0
321,0.19442415236188332,3198.3887556946434,0
322,0.19129949985751574,3166.5938229524995,0
323,0.18822235725970313,3135.009580162212,0
324,0.18519253699947116,3103.6445994615865,0
325,0.1822098413238213,3072.5072943813284,0
326,0.1792740625027108,3041.605917475728,0
327,0.17638498303811792,3010.9485580695846,0
328,0.1735423758750131,2980.5431401211968,0
329,0.17074600461406045,2950.3974202011696,0
330,0.16799562372587495,2920.51898558669,0
331,0.16529097876666174,2890.9152524708156,0
332,0.16263180659506946,2861.5934642862503,0
333,0.16001783559008875,2832.5606901429815,0
334,0.1574487858698307,2803.8238233790526,0
335,0.15492436951102362,2775.3895802236916,0
336,0.15244429076906763,2747.264498571902,0
337,0.1500082462984905,2719.454936869568,0
338,0.14761592537364981,2691.967073108019,0
339,0.14526701010953164,2664.8069039269626,0
340,0.14296117568249692,2637.9802438245906,0
341,0.14069809055083035,2611.492724473604,0
342,0.13847741667495045,2585.349794141834,0
343,0.13629880973714267,2559.5567172160877,0
344,0.13416191936067942,2534.118573827754,0
345,0.13206638932819648,2509.0402595786795,0
346,0.1300118577991965,2484.3264853657415,0
347,0.1279979575265555,2459.981777302523,0
348,0.12602431607191075,2436.0104767364032,0
349,0.12409055601981209,2412.416740359367,0
350,0.12219629519052327,2389.2045404107826,0
351,0.12034114685136262,2366.377664970336,0
352,0.11852471992647559,2343.9397183393003,0
353,0.11674661920493706,2321.894121508259,0
354,0.11500644554708367,2300.244112709394,0
355,0.11330379608898002,2278.9927480513857,0
356,0.11163826444492747,2258.142902234984,0
357,0.11000944090792686,2237.6972693472467,0
358,0.10841691264801107,2217.6583637324543,0
359,0.10686026390836612,2198.0285209376684,0
360,0.10533907619916405,2178.8098987308886,0
361,0.10385292848903467,2160.004478189763,0
362,0.10240139739410531,2141.614064858775,0
363,0.10098405736454405,2123.640289972838,0
364,0.09960048086854319,2106.0846117452293,0
365,0.09825023857368448,2088.9483167177523,0
366,0.09693289952563097,2072.232521171074,0
367,0.09564803132409408,2055.9381725931376,0
368,0.09439520029602791,2040.0660512035815,0
369,0.09317397166600597,2024.6167715320896,0
370,0.09198390972373949,2009.5907840486082,0
371,0.09082457798869979,1994.9883768433895,0
372,0.08969553937181,1980.8096773548084,0
373,0.08859635633417547,1967.0546541429405,0
374,0.08752659104282495,1953.7231187068885,0
375,0.08648580552343818,1940.8147273438738,0
376,0.0854735618100381,1928.3289830481228,0
377,0.08448942209162982,1916.265237447606,0
378,0.08353294885577095,1904.622692776712,0
379,0.08260370502906032,1893.4004038829535,0
380,0.08170125411453687,1882.5972802658516,0
381,0.08082516032598075,1872.212088146148,0
382,0.07997498871911386,1862.2434525635485,0
383,0.0791503053196978,1852.689859501207,0
384,0.07835067724853145,1843.5496580352274,0
385,0.07757567284335146,1834.8210625074519,0
386,0.0768248617776425,1826.5021547198778,0
387,0.07609781517636618,1818.590886149054,0
388,0.07539410572861946,1811.0850801788629,0
389,0.0747133077972363,1803.9824343501175,0
390,0.074054997525348,1797.2805226254563,0
391,0.0734187529399197,1790.9767976680396,0
392,0.0728041540522833,1785.0685931326109,0
393,0.07221078295568761,1779.5531259675133,0
394,0.07163822391988998,1774.4274987262943,0
395,0.07108606348281386,1769.6887018875777,0
396,0.0705538905393001,1765.33361618192,0
397,0.07004129642697973,1761.3590149244096,0
398,0.06954787500929893,1757.7615663518136,0
399,0.06907322275572714,1754.5378359631054,0
400,0.06861693881918192,1751.6842888622768,0
401,0.06817862511070423,1749.19729210234,0
402,0.06775788637141981,1747.0731170295069,0
403,0.06735433024182351,1745.3079416265473,0
404,0.06696756732842352,1743.897852854378,0
405,0.06659721126778513,1742.8388489909803,0
406,0.06624287878801305,1742.1268419667808,0
407,0.06590418976771258,1741.757659695661,0
408,0.0655807672924717,1741.7270484008259,0
409,0.06527223770890493,1742.0306749347674,0
410,0.06497823067630244,1742.6641290926304,0
411,0.06469837921592705,1743.6229259183028,0
412,0.0644323197580031,1744.9025080026047,0
413,0.06417969218644098,1746.4982477729754,0
414,0.06394013988134188,1748.405449774101,0
415,0.06371330975932776,1750.619352938966,0
416,0.06349885231174121,1753.135132849828,0
417,0.06329642164076042,1755.9479039886676,0
418,0.06310567549347491,1759.052721976688,0
419,0.06292627529396698,1762.4445858024728,0
420,0.06275788617344447,1766.118440038439,0
421,0.06260017699847024,1770.0691770452572,0
422,0.06245282039733345,1774.2916391639326,0
423,0.06231549278460775,1778.7806208952743,0
424,0.06218787438394147,1783.530871066502,0
425,0.06206964924912425,1788.5370949847663,0
426,0.06196050528347451,1793.793956577388,0
427,0.0618601342575919,1799.2960805186285,0
428,0.06176823182551829,1805.0380543428566,0
429,0.06168449753935045,1811.014430543954,0
430,0.06160863486234742,1817.219728660869,0
431,0.0615403511805746,1823.6484373492062,0
432,0.06147935781312648,1830.295016438784,0
433,0.061425370020969094,1837.153898977092,0
434,0.06137810701444301,1844.2194932586126,0
435,0.06133729195946637,1851.4861848399546,0
436,0.06130265198247785,1858.9483385408016,0
437,0.06127391817415778,1866.6003004306472,0
438,0.061250825591965735,1874.436399801336,0
439,0.06123311326153127,1882.4509511254048,0
440,0.06122052417693494,1890.6382560002576,0
441,0.061212805299914796,1898.9926050781935,0
442,0.061209707558033566,1907.5082799823206,0
443,0.06121098584184062,1916.1795552083972,0
444,0.06121639900106192,1925.0007000126361,0
445,0.06122570983985062,1933.9659802855215,0
446,0.06123868511113003,1943.0696604116815,0
447,0.06125509551005939,1952.3060051158611,0
448,0.061274715666653,1961.6692812950478,0
449,0.061297324137581516,1971.1537598367943,0
450,0.061322703397183584,1980.7537174237748,0
451,0.06135063982771548,1990.4634383246268,0
452,0.061380923708865096,2000.2772161711066,0
453,0.0614133492065561,2010.1893557215974,0
454,0.061447714361066885,2020.1941746109935,0
455,0.06148382107448853,2030.2860050869842,0
456,0.061521475097544465,2040.4591957327493,0
457,0.06156048601579464,2050.708113176079,0
458,0.06160066723524497,2061.027143784912,0
459,0.06164183596738297,2071.410695349279,0
460,0.061683813213659386,2081.853198749648,0
461,0.06172642374943433,2092.3491096116204,0
462,0.061769496107406334,2102.892909946959,0
463,0.06181286256054154,2113.4791097808866,0
464,0.06185635910451931,2124.102248765592,0
465,0.0618998254397104,2134.756897779885,0
466,0.06194310495270215,2145.4376605148973,0
467,0.061986044697385154,2156.1391750457406,0
468,0.06202849537561514,2166.856115389019,0
469,0.06207031131746218,2177.5831930460563,0
470,0.06211135046106003,2188.315158531718,0
471,0.06215147433206637,2199.0468028886708,0
472,0.06219054802274517,2209.7729591869174,0
473,0.06222844017068065,2220.4885040084296,0
474,0.06226502293713328,2231.188358916702,0
475,0.06230017198504535,2241.8674919110017,0
476,0.06233376645670582,2252.5209188651174,0
477,0.06236568895108073,2263.143704950366,0
478,0.06239582550081759,2273.730966042614,0
479,0.06242406554892968,2284.2778701130687,0
480,0.06245030192516638,2294.779638602549,0
481,0.06247443082207563,2305.231547778966,0
482,0.06249635177076343,2315.6289300777257,0
483,0.06251596761635515,2325.9671754247156,0
484,0.06253318449316314,2336.2417325415927,0
485,0.06254791179956457,2346.448110233011,0
486,0.06256006217259295,2356.5818786554587,0
487,0.06256955146224694,2366.638670567343,0
488,0.06257629870551906,2376.61418255997,0
489,0.06258022610014706,2386.504176269021,0
490,0.06258125897809017,2396.304479566159,0
491,0.06257932577873289,2406.010987730363,0
492,0.06257435802181713,2415.6196645985797,0
493,0.06256629028010545,2425.1265436952876,0
494,0.06255506015177621,2434.5277293405525,0
495,0.06254060823255198,2443.819397736137,0
496,0.06252287808756245,2452.997798029239,0
497,0.06250181622294304,2462.059253353418,0
498,0.062477372057169515,2471.00016184625,0
499,0.06244949789213003,2479.8169976432787,0
500,0.062418148883934946,2488.506311847791,0
501,0.06238328301346503,2497.0647334759637,0
502,0.062344861056659304,2505.4889703769263,0
503,0.06230284655454207,2513.775810127261,0
504,0.06225720578299083,2521.9221208994854,0
505,0.062207907722245034,2529.924852304047,0
506,0.062154924026156556,2537.7810362043656,0
507,0.06209822899118267,2545.4877875044517,0
508,0.06203779952512232,2553.042304908649,0
509,0.06197361511559621,2560.4418716530145,0
510,0.061905657798272284,2567.6838562079065,0
511,0.06183391212483719,2574.7657129513036,0
512,0.061758365130715025,2581.684982812405,0
513,0.061679006302535,2588.439293885079,0
514,0.061595827545348876,2595.026362010696,0
515,0.06150882314960066,2601.443991329937,0
516,0.06141798975784964,2607.6900748031303,0
517,0.061323326331249095,2613.762594698705,0
518,0.06122483411578289,2619.6596230493524,0
519,0.0611225166082624,2625.3793220754956,0
520,0.06101637952208588,2630.919944575658,0
521,0.06090643075276405,2636.2798342833876,0
522,0.0607926803432139,2641.457426190325,0
523,0.060675140448824806,2646.45124683509,0
524,0.060553825302299934,2651.259914557631,0
525,0.06042875117827719,2655.8821397187044,0
526,0.06029993635773318,2660.316724884173,0
527,0.06016740109217507,2664.5625649738213,0
528,0.0600311675676243,2668.618647374398,0
